pool,block_number,block_hash,block_time,log_index,tx_hash,sender,recipient,amount0,amount1,sqrt_price_x96,liquidity,price,tick
mypool,35717610,0x4164ef05388a060eab7f19260ec10c0fe283fb728895e69ff6375c1d3953b3f1,1667737065,3,0x4164ef05388a060eab7f19260ec10c0fe283fb728895e69ff6375c1d3953b3f1,sender,recipient,-4.99583521658128,200.0,498895917107945732986219065496,0,39651601423606.01,36803
mypool,35721244,0xd7871acaec506d5d7cd718feed1fa355cce38c09a61e469920a09d9bfb0d9744,1667738133,7,0xd7871acaec506d5d7cd718feed1fa355cce38c09a61e469920a09d9bfb0d9744,sender,recipient,-1.4721688958260426,58.97167418582974,498965171275147681399450007962,0,39662610650725.84,36805
mypool,35729584,0x3a8543bedb792d5288b743cbf96bfa83c91ba5ead2d5928473ac59a85536ec19,1667740417,10,0x3a8543bedb792d5288b743cbf96bfa83c91ba5ead2d5928473ac59a85536ec19,sender,recipient,-3.129787788474142,125.42646435890865,499112467505993851068277355933,0,39686031184673.15,36811
mypool,35730269,0x6f7aba92f9e5d5eac021622d9bdce56a4f04bd3c17fff8a9ad64c0e639a91cc3,1667740607,10,0x6f7aba92f9e5d5eac021622d9bdce56a4f04bd3c17fff8a9ad64c0e639a91cc3,sender,recipient,-8.56961506337301,343.8072,499516222048200065463436247870,0,39750264789031.02,36828
mypool,35730364,0xfe6a02c950b5cee6ada28602b330b7742d9654900f68c203ced82d521f1e17db,1667740633,16,0xfe6a02c950b5cee6ada28602b330b7742d9654900f68c203ced82d521f1e17db,sender,recipient,-1.4139155433455726,56.77880775642855,499582900993645976614564616569,0,39760877788266.77,36830
mypool,35730557,0x305321a9e668e03541a26963ab2e7d52c0656c807b7825a49ac9ab4dc52fede1,1667740678,9,0x305321a9e668e03541a26963ab2e7d52c0656c807b7825a49ac9ab4dc52fede1,sender,recipient,-0.5823108411879435,23.388346589278854,499610367408456703556944486271,0,39765249910616.055,36831
mypool,35731364,0xca34032910ccb7cbbe8f14cc652fec20a5138722c1111a7bb502c50627fcf319,1667740898,14,0xca34032910ccb7cbbe8f14cc652fec20a5138722c1111a7bb502c50627fcf319,sender,recipient,-0.6540301892748851,26.272,499641220279870803275012096283,0,39770161378048.79,36833
mypool,35736703,0x6aa850268defc5f6d6262d72b2fc83dc6857065613bf474daba6b698a83d8f15,1667742328,10,0x6aa850268defc5f6d6262d72b2fc83dc6857065613bf474daba6b698a83d8f15,sender,recipient,-0.049785835723505506,2.0,499643561774927724195064887833,0,39770534132940.5,36833
mypool,35739220,0x5c696616fa1119f31300f5320d5790ce634d4b289fe801af40c86443a2baa96f,1667742978,3,0x5c696616fa1119f31300f5320d5790ce634d4b289fe801af40c86443a2baa96f,sender,recipient,-0.2837041840984888,11.397341678102164,499656905184528381695258365992,0,39772658373713.84,36833
mypool,35739935,0x3bdd8c45eeb8f4c665f41c3d887c4ca344c88c0391b068d65ae6f7dddece2ca9,1667743171,3,0x3bdd8c45eeb8f4c665f41c3d887c4ca344c88c0391b068d65ae6f7dddece2ca9,sender,recipient,-0.12445590039198473,5.0,499662758922170683995390344867,0,39773590293472.53,36833
mypool,35742421,0xf7a46808a325fa85d5d4d452e54946d1a06ca9706f25f9fb0a30afa189c0b912,1667743800,3,0xf7a46808a325fa85d5d4d452e54946d1a06ca9706f25f9fb0a30afa189c0b912,sender,recipient,-0.18613658679725925,7.478232387213358,499671514044255267000157468747,0,39774984136352.88,36834
mypool,35771999,0x1e36a6da15f928c9416e99c84bc9e97208db64b36ecb3354069714a288c2b627,1667751580,12,0x1e36a6da15f928c9416e99c84bc9e97208db64b36ecb3354069714a288c2b627,sender,recipient,-0.7466480037127297,30.0,499706636470109080800949341998,0,39780575982155.46,36835
mypool,35773919,0x35eddaa79937fdd6b0f3dac7f6e5635488ee40dc0ef39f0c39e0b6de1cd50cdc,1667752103,11,0x35eddaa79937fdd6b0f3dac7f6e5635488ee40dc0ef39f0c39e0b6de1cd50cdc,sender,recipient,-9.944789993430811,399.98,500174912066542695602307124098,0,39855167752090.37,36854
mypool,35784380,0x7bb6deda2a375d4a4d74d639928e48d652e84bc9aa7a4237043f5e15261ddb54,1667754934,7,0x7bb6deda2a375d4a4d74d639928e48d652e84bc9aa7a4237043f5e15261ddb54,sender,recipient,-0.017387929937980832,0.7,500175731589812617924325601140,0,39855298355458.79,36854
mypool,35784520,0x6abec80cb6c07369e6e25d7b97459359445db6ce9ee0869f3fd3553aef77c08b,1667754972,3,0x6abec80cb6c07369e6e25d7b97459359445db6ce9ee0869f3fd3553aef77c08b,sender,recipient,-0.4060268215977211,16.346403309243197,500194869101086132283056779802,0,39858348266780.2,36855
